bijoux   : 22
chivvy   : 20
chintz   : 20
efflux   : 19
afflux   : 19
choppy   : 18
chippy   : 18
affix    : 18
foxy     : 17
floppy   : 16
deoxy    : 16
civvy    : 16
chivy    : 16
boxy     : 16
bortz    : 16
jotty    : 15
hoppy    : 15
hippy    : 15
fuzz     : 15
fizz     : 15
fiz      : 15
doxy     : 15
divvy    : 15
dexy     : 15
chimps   : 15
billowy  : 15
beefily  : 15
abuzz    : 15
gloppy   : 14
flux     : 14
ditz     : 14
coz      : 14
choosy   : 14
chitty   : 14
chimp    : 14
chilly   : 14
buzz     : 14
biz      : 14
bijou    : 14
oxy      : 13
knotty   : 13
joy      : 13
jow      : 13
gimpy    : 13
ghosty   : 13
fox      : 13
fix      : 13
filmy    : 13
dippy    : 13
crux     : 13
brux     : 13
blowy    : 13
biopsy   : 13
beefy    : 13
adz      : 13
loppy    : 12
flossy   : 12
floosy   : 12
empty    : 12
effort   : 12
doux     : 12
cox      : 12
cowy     : 12
chow     : 12
chops    : 12
chips    : 12
box      : 12
bevy     : 12
beknot   : 12
achy     : 12
accept   : 12
abbey    : 12
mopy     : 11
know     : 11
knops    : 11
joss     : 11
immy     : 11
horsy    : 11
hooty    : 11
hissy    : 11
hinny    : 11
hilly    : 11
gox      : 11
goopy    : 11
gipsy    : 11
forty    : 11
footy    : 11
firry    : 11
finny    : 11
filly    : 11
emmy     : 11
dhow     : 11
dex      : 11
dewy     : 11
defy     : 11
copy     : 11
clotty   : 11
chop     : 11
chirrs   : 11
chip     : 11
chinos   : 11
chills   : 11
blotty   : 11
billow   : 11
bellow   : 11
abhors   : 11
zzz      : 10
tux      : 10
mossy    : 10
moory    : 10
lux      : 10
lox      : 10
loopy    : 10
kops     : 10
knop     : 10
jot      : 10
hoops    : 10
hmm      : 10
glossy   : 10
gimps    : 10
flow     : 10
flops    : 10
films    : 10
envy     : 10
effs     : 10
dopy     : 10
demy     : 10
dekkos   : 10
dehort   : 10
cissy    : 10
chott    : 10
chiru    : 10
chirr    : 10
